user_id,movie_id,title
196,382,"Adventures of Priscilla, Queen of the Desert, The (1994)"
196,393,Mrs. Doubtfire (1993)
196,663,Being There (1979)
196,845,That Thing You Do! (1996)
196,25,"Birdcage, The (1996)"
196,67,Ace Ventura: Pet Detective (1994)
196,692,"American President, The (1995)"
196,411,"Nutty Professor, The (1996)"
196,108,Kids in the Hall: Brain Candy (1996)
196,1118,Up in Smoke (1978)
186,385,True Lies (1994)
186,550,Die Hard: With a Vengeance (1995)
186,568,Speed (1994)
186,540,Money Train (1995)
186,225,101 Dalmatians (1996)
186,596,"Hunchback of Notre Dame, The (1996)"
186,71,"Lion King, The (1994)"
186,588,Beauty and the Beast (1991)
186,689,"Jackal, The (1997)"
186,306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
186,887,Eve's Bayou (1997)
186,330,187 (1997)
186,147,"Long Kiss Goodnight, The (1996)"
186,257,Men in Black (1997)
186,148,"Ghost and the Darkness, The (1996)"
186,1253,"Tie That Binds, The (1995)"
186,332,Kiss the Girls (1997)
186,829,Fled (1996)
186,546,Broken Arrow (1996)
186,988,"Beautician and the Beast, The (1997)"
186,177,"Good, The Bad and The Ugly, The (1966)"
186,477,Matilda (1996)
186,98,"Silence of the Lambs, The (1991)"
22,358,Spawn (1997)
22,96,Terminator 2: Judgment Day (1991)
22,172,"Empire Strikes Back, The (1980)"
22,187,"Godfather: Part II, The (1974)"
22,144,Die Hard (1988)
22,89,Blade Runner (1982)
22,79,"Fugitive, The (1993)"
22,510,"Magnificent Seven, The (1954)"
22,181,Return of the Jedi (1983)
22,176,Aliens (1986)
22,174,Raiders of the Lost Ark (1981)
22,50,Star Wars (1977)
22,228,Star Trek: The Wrath of Khan (1982)
22,651,Glory (1989)
22,195,"Terminator, The (1984)"
22,568,Speed (1994)
22,403,Batman (1989)
22,127,"Godfather, The (1972)"
22,515,"Boot, Das (1981)"
22,117,"Rock, The (1996)"
22,184,Army of Darkness (1993)
22,385,True Lies (1994)
22,62,Stargate (1994)
22,161,Top Gun (1986)
22,68,"Crow, The (1994)"
22,222,Star Trek: First Contact (1996)
22,118,Twister (1996)
22,128,Supercop (1992)
22,511,Lawrence of Arabia (1962)
22,431,Highlander (1986)
22,24,Rumble in the Bronx (1995)
22,230,Star Trek IV: The Voyage Home (1986)
22,526,Ben-Hur (1959)
22,227,Star Trek VI: The Undiscovered Country (1991)
22,226,Die Hard 2 (1990)
22,550,Die Hard: With a Vengeance (1995)
22,840,Last Man Standing (1996)
22,250,"Fifth Element, The (1997)"
244,172,"Empire Strikes Back, The (1980)"
